publisher|m|http://rdaregistry.info/Elements/m/P30362|http://rdaregistry.info/Elements/m/P30420|http://rdaregistry.info/Elements/m/P30449
surveyor|m|http://rdaregistry.info/Elements/m/P30337|http://rdaregistry.info/Elements/m/P30395|http://rdaregistry.info/Elements/m/P30424
related person|i|http://rdaregistry.info/Elements/i/P40073|USE: related body|USE: related family
related body|i|USE: related person|http://rdaregistry.info/Elements/i/P40075|USE: related family
related family|i|USE: related person|USE: related body|http://rdaregistry.info/Elements/i/P40074
annotator|i|http://rdaregistry.info/Elements/i/P40015|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
autographer|i|http://rdaregistry.info/Elements/i/P40016|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
binder|i|http://rdaregistry.info/Elements/i/P40098|http://rdaregistry.info/Elements/i/P40130|http://rdaregistry.info/Elements/i/P40146
collection registrar|i|ERR: The Item-level elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currently have approved PCC labels.|ERR: The Item-level elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currently have approved PCC labels.|ERR: The Item-level elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currently have approved PCC labels.
collector|i|ERR: The Item-level elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currently have approved PCC labels.|ERR: The Item-level elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currently have approved PCC labels.|ERR: The Item-level elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currently have approved PCC labels.
curator|i|ERR: The elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currenly have approved PCC labels.|ERR: The elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currenly have approved PCC labels.|ERR: The elements associated with this label are deprecated. See the Work elements for compiler, collector, and collection registrar, which do not currenly have approved PCC labels.
current owner|i|http://rdaregistry.info/Elements/i/P40101|http://rdaregistry.info/Elements/i/P40133|http://rdaregistry.info/Elements/i/P40149
custodian|i|http://rdaregistry.info/Elements/i/P40103|http://rdaregistry.info/Elements/i/P40135|http://rdaregistry.info/Elements/i/P40151
dedicatee|i|http://rdaregistry.info/Elements/i/P40097|http://rdaregistry.info/Elements/i/P40129|http://rdaregistry.info/Elements/i/P40145
depositor|i|http://rdaregistry.info/Elements/i/P40107|http://rdaregistry.info/Elements/i/P40139|http://rdaregistry.info/Elements/i/P40155
donor|i|http://rdaregistry.info/Elements/i/P40108|http://rdaregistry.info/Elements/i/P40140|http://rdaregistry.info/Elements/i/P40156
former owner|i|http://rdaregistry.info/Elements/i/P40102|http://rdaregistry.info/Elements/i/P40134|http://rdaregistry.info/Elements/i/P40150
honouree|i|http://rdaregistry.info/Elements/i/P40110|http://rdaregistry.info/Elements/i/P40142|http://rdaregistry.info/Elements/i/P40158
illuminator|i|http://rdaregistry.info/Elements/i/P40100|http://rdaregistry.info/Elements/i/P40132|http://rdaregistry.info/Elements/i/P40148
inscriber|i|http://rdaregistry.info/Elements/i/P40014|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
modifier|i|http://rdaregistry.info/Elements/i/P40112|http://rdaregistry.info/Elements/i/P40144|http://rdaregistry.info/Elements/i/P40160
owner|i|http://rdaregistry.info/Elements/i/P40104|http://rdaregistry.info/Elements/i/P40136|http://rdaregistry.info/Elements/i/P40152
restorationist|i|http://rdaregistry.info/Elements/i/P40111|http://rdaregistry.info/Elements/i/P40143|http://rdaregistry.info/Elements/i/P40159
seller|i|http://rdaregistry.info/Elements/i/P40109|http://rdaregistry.info/Elements/i/P40141|http://rdaregistry.info/Elements/i/P40157
